status,loan_amount,annual_income,purpose,home_ownership
Charged Off,17450,65000,debt_consolidation,MORTGAGE
Charged Off,10500,58000,debt_consolidation,RENT
Charged Off,18000,60000,debt_consolidation,MORTGAGE
Charged Off,4500,20000,debt_consolidation,RENT
Charged Off,35000,88000,debt_consolidation,MORTGAGE
Charged Off,4725,15860,other,MORTGAGE
Charged Off,10000,40000,debt_consolidation,RENT
Charged Off,18000,64000,home_improvement,MORTGAGE
Charged Off,15000,40000,debt_consolidation,OWN
Charged Off,18000,65000,debt_consolidation,RENT
Charged Off,14000,102000,debt_consolidation,RENT
Charged Off,26325,60000,debt_consolidation,MORTGAGE
Charged Off,35000,100000,debt_consolidation,RENT
Charged Off,13250,71000,debt_consolidation,MORTGAGE
Charged Off,7750,29000,debt_consolidation,MORTGAGE
Charged Off,12000,38000,debt_consolidation,RENT
Charged Off,9925,47480,debt_consolidation,RENT
Charged Off,13225,73000,debt_consolidation,MORTGAGE
Charged Off,7200,58000,debt_consolidation,RENT
Charged Off,16000,46000,debt_consolidation,MORTGAGE
Charged Off,3950,44000,debt_consolidation,OWN
Charged Off,16750,40000,home_improvement,MORTGAGE
Charged Off,10500,30000,debt_consolidation,RENT
Charged Off,12000,80000,credit_card,MORTGAGE
Charged Off,15000,65000,debt_consolidation,MORTGAGE
Charged Off,8000,29000,debt_consolidation,RENT
Charged Off,6000,55000,debt_consolidation,RENT
Charged Off,11500,34000,debt_consolidation,RENT
Charged Off,4800,48000,debt_consolidation,RENT
Charged Off,14400,40976,credit_card,RENT
Charged Off,5000,30000,debt_consolidation,RENT
Charged Off,21700,48263,debt_consolidation,MORTGAGE
Charged Off,18000,110000,major_purchase,RENT
Charged Off,12175,35000,home_improvement,RENT
Charged Off,8325,25064,credit_card,OWN
Charged Off,16700,55000,debt_consolidation,OWN
Charged Off,24575,63000,other,RENT
Charged Off,10400,100000,other,OWN
Charged Off,20000,78000,credit_card,MORTGAGE
Charged Off,12500,38000,credit_card,MORTGAGE
Charged Off,10000,35000,debt_consolidation,MORTGAGE
Charged Off,11000,54000,major_purchase,RENT
Charged Off,35000,220000,credit_card,MORTGAGE
Charged Off,20125,91000,small_business,MORTGAGE
Charged Off,30000,111000,credit_card,MORTGAGE
Charged Off,8000,24700,debt_consolidation,RENT
Charged Off,2000,61000,other,RENT
Charged Off,15000,40000,credit_card,MORTGAGE
Charged Off,5375,20000,debt_consolidation,RENT
Charged Off,10000,80000,debt_consolidation,MORTGAGE
Charged Off,16950,96000,debt_consolidation,MORTGAGE
Charged Off,6000,50000,debt_consolidation,MORTGAGE
Charged Off,28000,78000,debt_consolidation,OWN
Charged Off,2000,55000,home_improvement,MORTGAGE
Charged Off,35000,251600,small_business,MORTGAGE
Charged Off,10000,85000,credit_card,MORTGAGE
Charged Off,15000,43000,debt_consolidation,RENT
Charged Off,29175,64947,debt_consolidation,MORTGAGE
Charged Off,8875,39000,debt_consolidation,RENT
Charged Off,11575,70000,debt_consolidation,RENT
Charged Off,35000,110000,debt_consolidation,MORTGAGE
Charged Off,35000,120000,credit_card,MORTGAGE
Charged Off,21000,131000,credit_card,MORTGAGE
Charged Off,9950,30160,home_improvement,OWN
Charged Off,7200,49000,debt_consolidation,RENT
Charged Off,15000,68000,small_business,MORTGAGE
Charged Off,2200,50000,other,RENT
Charged Off,15000,53335,debt_consolidation,MORTGAGE
Charged Off,11500,33000,credit_card,RENT
Charged Off,17500,65000,debt_consolidation,RENT
Charged Off,16000,60000,credit_card,RENT
Charged Off,25450,65000,small_business,RENT
Charged Off,17500,45000,debt_consolidation,MORTGAGE
Charged Off,35000,88000,credit_card,RENT
Charged Off,19600,63000,small_business,MORTGAGE
Charged Off,35000,91520,debt_consolidation,MORTGAGE
Charged Off,12000,49200,debt_consolidation,RENT
Charged Off,19400,72077,debt_consolidation,MORTGAGE
Charged Off,26000,115000,credit_card,MORTGAGE
Charged Off,5500,20000,other,RENT
Charged Off,14600,44000,debt_consolidation,RENT
Charged Off,13500,38000,debt_consolidation,RENT
Charged Off,14000,98000,home_improvement,MORTGAGE
Charged Off,11500,35000,debt_consolidation,OWN
Charged Off,1500,29000,home_improvement,MORTGAGE
Charged Off,35000,80000,debt_consolidation,RENT
Charged Off,7200,40000,credit_card,MORTGAGE
Charged Off,12000,59000,debt_consolidation,MORTGAGE
Charged Off,18850,75000,debt_consolidation,MORTGAGE
Charged Off,3000,16812,credit_card,RENT
Charged Off,10000,50000,debt_consolidation,RENT
Charged Off,11500,70000,home_improvement,MORTGAGE
Charged Off,20675,69500,debt_consolidation,RENT
Charged Off,20000,65000,debt_consolidation,MORTGAGE
Charged Off,11500,55880,credit_card,RENT
Charged Off,25000,61000,debt_consolidation,MORTGAGE
Charged Off,6075,20373,credit_card,OWN
Charged Off,22250,60000,debt_consolidation,RENT
Charged Off,7325,35000,debt_consolidation,RENT
Charged Off,8000,60000,debt_consolidation,RENT
Charged Off,5000,28000,other,RENT
Charged Off,12000,105000,debt_consolidation,RENT
Charged Off,16000,65000,other,RENT
Charged Off,13050,71000,major_purchase,MORTGAGE
Charged Off,14000,70000,debt_consolidation,MORTGAGE
Charged Off,2000,65500,other,RENT
Charged Off,23975,130000,debt_consolidation,RENT
Charged Off,6000,80000,major_purchase,OWN
Charged Off,5800,100000,small_business,RENT
Charged Off,10000,60000,debt_consolidation,MORTGAGE
Charged Off,6975,68567,debt_consolidation,MORTGAGE
Charged Off,7875,34950,debt_consolidation,RENT
Charged Off,28000,197000,debt_consolidation,MORTGAGE
Charged Off,24000,80000,debt_consolidation,RENT
Charged Off,12000,90000,debt_consolidation,MORTGAGE
Charged Off,14675,42000,debt_consolidation,MORTGAGE
Charged Off,10000,75000,credit_card,RENT
Charged Off,20000,50000,debt_consolidation,MORTGAGE
Charged Off,11625,34000,credit_card,RENT
Charged Off,6625,22248,debt_consolidation,RENT
Charged Off,12000,78000,small_business,RENT
Charged Off,27575,62000,debt_consolidation,RENT
Charged Off,10400,110000,debt_consolidation,MORTGAGE
Charged Off,10050,30000,credit_card,RENT
Charged Off,8000,110000,major_purchase,MORTGAGE
Charged Off,13000,85000,debt_consolidation,MORTGAGE
Charged Off,16800,78000,debt_consolidation,RENT
Charged Off,10000,45000,credit_card,RENT
Charged Off,12000,43500,credit_card,RENT
Charged Off,16000,85000,debt_consolidation,RENT
Charged Off,24000,70000,debt_consolidation,MORTGAGE
Charged Off,35000,110497,debt_consolidation,MORTGAGE
Charged Off,25000,70000,debt_consolidation,MORTGAGE
Charged Off,7000,44000,debt_consolidation,RENT
Charged Off,8000,110000,small_business,RENT
Charged Off,11325,70000,credit_card,RENT
Charged Off,20000,80000,debt_consolidation,MORTGAGE
Charged Off,9000,90000,debt_consolidation,RENT
Charged Off,9000,74300,home_improvement,MORTGAGE
Charged Off,12000,48000,credit_card,RENT
Charged Off,15000,98000,home_improvement,MORTGAGE
Charged Off,24000,60000,home_improvement,MORTGAGE
Charged Off,10000,48837,credit_card,MORTGAGE
Charged Off,5000,26000,credit_card,RENT
Charged Off,1000,85000,credit_card,RENT
Charged Off,6000,40000,debt_consolidation,RENT
Charged Off,17600,71000,debt_consolidation,RENT
Charged Off,10800,50000,other,MORTGAGE
Charged Off,20000,105000,debt_consolidation,MORTGAGE
Charged Off,8500,26000,debt_consolidation,MORTGAGE
Charged Off,15000,130000,debt_consolidation,MORTGAGE
Charged Off,22325,50000,debt_consolidation,RENT
Charged Off,6300,24000,credit_card,RENT
Charged Off,3000,22500,debt_consolidation,RENT
Charged Off,10000,75000,other,MORTGAGE
Charged Off,6000,58000,other,RENT
Charged Off,8000,55000,other,RENT
Charged Off,16750,38552,credit_card,RENT
Charged Off,18000,48000,debt_consolidation,RENT
Charged Off,24375,54168,credit_card,MORTGAGE
Charged Off,8000,65000,credit_card,MORTGAGE
Charged Off,13000,55000,debt_consolidation,MORTGAGE
Charged Off,5175,65000,home_improvement,MORTGAGE
Charged Off,6400,48000,debt_consolidation,RENT
Charged Off,16000,80000,debt_consolidation,MORTGAGE
Charged Off,23675,150000,debt_consolidation,MORTGAGE
Charged Off,14600,44412,small_business,RENT
Charged Off,32000,400000,small_business,MORTGAGE
Charged Off,12000,46800,debt_consolidation,RENT
Charged Off,18000,57000,debt_consolidation,RENT
Charged Off,5600,19000,other,RENT
Charged Off,7000,55296,debt_consolidation,RENT
Charged Off,20000,48000,debt_consolidation,RENT
Charged Off,32000,90900,debt_consolidation,MORTGAGE
Charged Off,15575,66894,small_business,OWN
Charged Off,15000,55000,credit_card,MORTGAGE
Charged Off,7000,23360,major_purchase,RENT
Charged Off,9000,49000,credit_card,MORTGAGE
Charged Off,12800,48500,debt_consolidation,RENT
Charged Off,15000,46080,credit_card,RENT
Charged Off,8400,27000,debt_consolidation,MORTGAGE
Charged Off,6000,60000,debt_consolidation,MORTGAGE
Charged Off,14000,100000,credit_card,MORTGAGE
Charged Off,30000,120000,home_improvement,MORTGAGE
Charged Off,20000,56000,debt_consolidation,MORTGAGE
Charged Off,18000,58000,debt_consolidation,MORTGAGE
Charged Off,13225,52000,debt_consolidation,RENT
Charged Off,14000,95000,debt_consolidation,MORTGAGE
Charged Off,12175,80000,debt_consolidation,MORTGAGE
Charged Off,33950,76198,debt_consolidation,MORTGAGE
Charged Off,21725,48278,debt_consolidation,MORTGAGE
Charged Off,15250,73000,debt_consolidation,MORTGAGE
Charged Off,35000,94000,debt_consolidation,MORTGAGE
Charged Off,9325,26693,credit_card,MORTGAGE
Charged Off,10075,80000,other,MORTGAGE
Charged Off,10000,70000,debt_consolidation,MORTGAGE
Charged Off,13000,53000,credit_card,RENT
Charged Off,9800,49140,debt_consolidation,RENT
Charged Off,15500,70000,debt_consolidation,MORTGAGE
Charged Off,33425,75000,debt_consolidation,MORTGAGE
Charged Off,22750,75000,debt_consolidation,RENT
Charged Off,24000,75000,debt_consolidation,MORTGAGE
Charged Off,12000,48000,debt_consolidation,RENT
Charged Off,30750,78000,other,RENT
Charged Off,10000,36000,credit_card,RENT
Charged Off,27300,69993,other,MORTGAGE
Charged Off,10200,40000,debt_consolidation,RENT
Charged Off,8000,60000,credit_card,MORTGAGE
Charged Off,6250,30900,debt_consolidation,RENT
Charged Off,21000,102000,medical,RENT
Charged Off,7500,85000,debt_consolidation,RENT
Charged Off,25000,61500,credit_card,RENT
Charged Off,24575,63000,other,MORTGAGE
Charged Off,3000,23000,credit_card,RENT
Charged Off,10000,49000,home_improvement,OWN
Charged Off,5375,28000,debt_consolidation,OWN
Charged Off,10625,32000,debt_consolidation,OWN
Charged Off,8400,52000,credit_card,RENT
Charged Off,15000,124000,home_improvement,OWN
Charged Off,17500,65000,medical,RENT
Charged Off,10625,36250,credit_card,RENT
Charged Off,29175,65000,credit_card,MORTGAGE
Charged Off,7425,33500,debt_consolidation,MORTGAGE
Charged Off,10750,32000,debt_consolidation,OWN
Charged Off,22000,84500,debt_consolidation,MORTGAGE
Charged Off,15000,80000,debt_consolidation,RENT
Charged Off,19075,100000,major_purchase,RENT
Charged Off,20100,45198,debt_consolidation,OWN
Charged Off,8875,26000,other,OWN
Charged Off,12500,45000,credit_card,OWN
Charged Off,12000,35000,medical,MORTGAGE
Charged Off,3000,45000,other,OWN
Charged Off,14000,52000,debt_consolidation,RENT
Charged Off,6325,27800,debt_consolidation,RENT
Charged Off,13225,52000,debt_consolidation,OWN
Charged Off,30000,164000,credit_card,MORTGAGE
Charged Off,15000,47000,credit_card,RENT
Charged Off,16950,38000,debt_consolidation,OWN
Charged Off,30000,175000,debt_consolidation,MORTGAGE
Charged Off,10000,63000,debt_consolidation,RENT
Charged Off,3500,120000,medical,MORTGAGE
Charged Off,6500,22671,other,MORTGAGE
Charged Off,30000,87000,debt_consolidation,MORTGAGE
Charged Off,21000,78000,debt_consolidation,MORTGAGE
Charged Off,6500,26000,debt_consolidation,OWN
Charged Off,35000,160000,credit_card,RENT
Charged Off,28000,95000,home_improvement,RENT
Charged Off,6000,124000,debt_consolidation,MORTGAGE
Charged Off,32000,87000,debt_consolidation,MORTGAGE
Charged Off,20000,70000,other,MORTGAGE
Charged Off,18000,160000,debt_consolidation,MORTGAGE
Charged Off,10000,70000,debt_consolidation,MORTGAGE
Charged Off,15000,49000,debt_consolidation,MORTGAGE
Charged Off,16200,36000,debt_consolidation,MORTGAGE
Charged Off,24000,57000,debt_consolidation,MORTGAGE
Charged Off,12250,46998,debt_consolidation,OWN
Charged Off,12875,41683,debt_consolidation,MORTGAGE
Charged Off,17500,40000,credit_card,RENT
Charged Off,9950,30000,credit_card,RENT
Charged Off,20000,85000,credit_card,MORTGAGE
Charged Off,31000,70685,debt_consolidation,RENT
Charged Off,8000,76000,home_improvement,RENT
Default,35000,106000,debt_consolidation,MORTGAGE
Charged Off,10575,31564,debt_consolidation,RENT
Charged Off,9450,36000,credit_card,OWN
Charged Off,10000,55000,other,MORTGAGE
Charged Off,11500,42000,debt_consolidation,MORTGAGE
Charged Off,9000,45000,debt_consolidation,MORTGAGE
Charged Off,14000,80000,credit_card,MORTGAGE
Charged Off,19375,63000,debt_consolidation,RENT
Charged Off,10000,30000,debt_consolidation,RENT
Charged Off,3000,60000,home_improvement,MORTGAGE
Charged Off,3500,25000,medical,OWN
Charged Off,12000,63420,debt_consolidation,MORTGAGE
Charged Off,30000,148000,credit_card,MORTGAGE
Charged Off,12000,48000,credit_card,RENT
Charged Off,31000,100000,credit_card,RENT
Charged Off,10000,70000,credit_card,MORTGAGE
Charged Off,25875,72000,debt_consolidation,MORTGAGE
Charged Off,25000,113900,home_improvement,RENT
Charged Off,14000,39630,credit_card,MORTGAGE
Charged Off,3600,35000,debt_consolidation,RENT
Charged Off,35000,90000,debt_consolidation,MORTGAGE
Charged Off,7200,38280,debt_consolidation,MORTGAGE
Charged Off,24000,69000,debt_consolidation,OWN
Charged Off,23500,85000,debt_consolidation,RENT
Charged Off,18000,70345,debt_consolidation,OWN
Charged Off,25000,72132,debt_consolidation,RENT
Charged Off,10000,30000,credit_card,RENT
Charged Off,20000,130000,debt_consolidation,MORTGAGE
Charged Off,17000,76000,debt_consolidation,MORTGAGE
Charged Off,15000,83000,home_improvement,MORTGAGE
Charged Off,24000,77000,debt_consolidation,RENT
Charged Off,10000,92000,debt_consolidation,MORTGAGE
Charged Off,9600,49500,credit_card,MORTGAGE
Charged Off,35000,105000,debt_consolidation,RENT
Default,12000,60000,debt_consolidation,MORTGAGE
Charged Off,25000,60000,debt_consolidation,MORTGAGE
Charged Off,35000,123480,debt_consolidation,RENT
Charged Off,7925,36000,debt_consolidation,MORTGAGE
Charged Off,21200,150000,debt_consolidation,MORTGAGE
Charged Off,19200,78000,debt_consolidation,RENT
Charged Off,20000,100000,debt_consolidation,MORTGAGE
Default,5000,65000,major_purchase,RENT
Charged Off,2000,22000,other,RENT
Charged Off,5375,25000,other,RENT
Charged Off,19125,44000,debt_consolidation,RENT
Charged Off,5000,21000,other,RENT
Charged Off,3975,27000,debt_consolidation,RENT
Charged Off,10050,29000,debt_consolidation,MORTGAGE
Charged Off,6700,40000,credit_card,MORTGAGE
Charged Off,2700,48000,home_improvement,MORTGAGE
Charged Off,16950,38000,debt_consolidation,RENT
Charged Off,10000,56000,debt_consolidation,RENT
Charged Off,6400,105597,home_improvement,RENT
Charged Off,10000,32011,debt_consolidation,RENT
Charged Off,17500,65000,credit_card,MORTGAGE
Charged Off,7975,45000,credit_card,MORTGAGE
Charged Off,10000,42000,debt_consolidation,OWN
Charged Off,21250,68000,debt_consolidation,MORTGAGE
Charged Off,16000,50000,credit_card,RENT
Charged Off,4500,95000,debt_consolidation,RENT
Charged Off,14000,64000,debt_consolidation,RENT
Charged Off,10800,54000,home_improvement,MORTGAGE
Charged Off,25000,85000,debt_consolidation,RENT
Charged Off,11875,35000,debt_consolidation,RENT
Charged Off,10000,135000,credit_card,MORTGAGE
Charged Off,5000,45000,debt_consolidation,RENT
Charged Off,20500,46000,debt_consolidation,RENT
Charged Off,17625,86000,other,RENT
Charged Off,20500,46920,debt_consolidation,OWN
Charged Off,7500,106000,other,MORTGAGE
Charged Off,2875,43500,other,RENT
Charged Off,33600,80000,credit_card,MORTGAGE
Charged Off,2000,40000,home_improvement,MORTGAGE
Charged Off,20000,65000,debt_consolidation,MORTGAGE
Charged Off,7200,55000,debt_consolidation,RENT
Charged Off,35000,175000,debt_consolidation,MORTGAGE
Charged Off,15600,65000,debt_consolidation,RENT
Charged Off,6950,37750,other,RENT
Charged Off,12000,40000,other,RENT
Charged Off,10000,45000,credit_card,RENT
Charged Off,20000,58000,credit_card,RENT
Charged Off,21850,50000,debt_consolidation,RENT
Charged Off,6950,45000,debt_consolidation,RENT
Charged Off,10000,65500,other,MORTGAGE
Charged Off,8000,65000,debt_consolidation,RENT
Charged Off,28000,126500,small_business,MORTGAGE
Charged Off,20125,45000,debt_consolidation,RENT
Charged Off,25000,75000,debt_consolidation,RENT
Charged Off,5875,20000,other,RENT
Charged Off,10000,77000,debt_consolidation,MORTGAGE
Charged Off,11000,33840,debt_consolidation,RENT
Charged Off,2000,75000,other,MORTGAGE
Charged Off,10000,32000,other,OWN
Charged Off,8000,65000,home_improvement,MORTGAGE
Charged Off,7000,58000,debt_consolidation,MORTGAGE
Charged Off,35000,110000,debt_consolidation,RENT
Charged Off,8000,45000,debt_consolidation,MORTGAGE
Charged Off,24000,75000,debt_consolidation,MORTGAGE
Charged Off,5700,27500,debt_consolidation,MORTGAGE
Charged Off,32250,92000,debt_consolidation,MORTGAGE
Charged Off,12250,35163,debt_consolidation,RENT
Charged Off,16000,67842,debt_consolidation,RENT
Charged Off,12400,67500,debt_consolidation,MORTGAGE
Charged Off,6000,53000,debt_consolidation,RENT
Charged Off,16500,62000,debt_consolidation,MORTGAGE
Charged Off,30000,73000,debt_consolidation,MORTGAGE
Charged Off,9000,28000,debt_consolidation,MORTGAGE
Charged Off,17000,57000,debt_consolidation,RENT
Charged Off,18000,108000,other,MORTGAGE
Charged Off,18375,80000,debt_consolidation,MORTGAGE
Charged Off,4000,30000,debt_consolidation,RENT
Charged Off,5375,30000,debt_consolidation,MORTGAGE
Charged Off,35000,171034,debt_consolidation,MORTGAGE
Charged Off,25200,86000,credit_card,MORTGAGE
Charged Off,10000,45000,debt_consolidation,MORTGAGE
Charged Off,35000,110000,small_business,MORTGAGE
Charged Off,8875,25961,debt_consolidation,RENT
Charged Off,12000,50000,debt_consolidation,MORTGAGE
Charged Off,12000,60000,debt_consolidation,RENT
Charged Off,1625,27500,debt_consolidation,MORTGAGE
Charged Off,14400,85000,credit_card,MORTGAGE
Charged Off,10400,38000,credit_card,MORTGAGE
Charged Off,3500,67000,debt_consolidation,MORTGAGE
Charged Off,28000,100000,debt_consolidation,RENT
Charged Off,15000,55000,credit_card,RENT
Charged Off,4500,38000,major_purchase,MORTGAGE
Charged Off,7800,36358,debt_consolidation,RENT
Charged Off,15000,56000,debt_consolidation,RENT
Charged Off,16000,64000,debt_consolidation,RENT
Charged Off,17625,55000,debt_consolidation,RENT
Charged Off,14400,60000,debt_consolidation,MORTGAGE
Charged Off,10850,32752,credit_card,MORTGAGE
Charged Off,2700,57707,other,OWN
Charged Off,16000,80000,other,OWN
Charged Off,4500,34000,debt_consolidation,RENT
Charged Off,13700,92000,home_improvement,MORTGAGE
Charged Off,10000,60000,debt_consolidation,RENT
Charged Off,5800,20000,debt_consolidation,MORTGAGE
Charged Off,18225,41600,major_purchase,RENT
Charged Off,7500,35000,debt_consolidation,OWN
Charged Off,7750,30000,credit_card,RENT
Charged Off,2150,46000,debt_consolidation,RENT
Charged Off,16000,50000,credit_card,MORTGAGE
Charged Off,10000,31000,debt_consolidation,RENT
Charged Off,10000,60000,debt_consolidation,MORTGAGE
Charged Off,6850,290000,home_improvement,MORTGAGE
Charged Off,6500,29000,other,RENT
Charged Off,15000,48000,other,MORTGAGE
Charged Off,18000,51300,debt_consolidation,RENT
Charged Off,23325,165000,major_purchase,MORTGAGE
Charged Off,28000,67000,debt_consolidation,MORTGAGE
Charged Off,8000,48360,debt_consolidation,MORTGAGE
Charged Off,10400,80000,home_improvement,MORTGAGE
Charged Off,15000,49000,debt_consolidation,RENT
Charged Off,7000,102000,medical,RENT
Charged Off,13800,72000,debt_consolidation,MORTGAGE
Charged Off,10000,59460,debt_consolidation,MORTGAGE
Charged Off,6350,23000,debt_consolidation,RENT
Charged Off,11000,50200,debt_consolidation,MORTGAGE
Charged Off,8875,27700,credit_card,RENT
Charged Off,10000,52000,other,RENT
Charged Off,6650,24800,debt_consolidation,RENT
Charged Off,3500,72000,other,MORTGAGE
Charged Off,23800,59000,debt_consolidation,MORTGAGE
Charged Off,14000,104000,credit_card,MORTGAGE
Charged Off,15000,72000,credit_card,MORTGAGE
Charged Off,6250,28114,debt_consolidation,MORTGAGE
Charged Off,8000,70000,other,MORTGAGE
Charged Off,10500,85000,debt_consolidation,MORTGAGE
Charged Off,5375,26500,credit_card,RENT
Charged Off,4000,14597,debt_consolidation,RENT
Charged Off,25000,61000,debt_consolidation,MORTGAGE
Charged Off,16000,48000,credit_card,MORTGAGE
Charged Off,18550,41675,debt_consolidation,OWN
Charged Off,3625,13704,credit_card,RENT
Charged Off,6000,30000,credit_card,RENT
Charged Off,18825,48000,other,MORTGAGE
Charged Off,6000,62000,home_improvement,MORTGAGE
Default,31300,70000,debt_consolidation,RENT
Charged Off,35000,500000,home_improvement,MORTGAGE
Charged Off,6250,47283,debt_consolidation,MORTGAGE
Charged Off,15000,37980,debt_consolidation,RENT
Charged Off,12300,44346,debt_consolidation,RENT
Charged Off,5000,26000,debt_consolidation,OWN
Charged Off,9000,29000,credit_card,RENT
Charged Off,6075,68750,medical,RENT
Charged Off,3600,43000,medical,MORTGAGE
Charged Off,7000,49000,credit_card,MORTGAGE
Charged Off,29175,65000,debt_consolidation,MORTGAGE
Charged Off,15875,36000,debt_consolidation,RENT
Charged Off,35000,250000,small_business,MORTGAGE
Charged Off,10000,85000,credit_card,MORTGAGE
Charged Off,20000,60000,credit_card,OWN
Charged Off,24375,55000,debt_consolidation,RENT
Charged Off,10000,63000,credit_card,RENT
Charged Off,11500,55000,home_improvement,MORTGAGE
Charged Off,7000,43000,debt_consolidation,RENT
Charged Off,6000,20630,credit_card,RENT
Charged Off,13000,43000,other,OWN
Charged Off,4000,25000,other,RENT
Charged Off,5400,106000,debt_consolidation,RENT
Charged Off,2000,30000,other,RENT
Charged Off,2000,67000,other,RENT
Charged Off,19075,43200,debt_consolidation,MORTGAGE
Charged Off,7750,25000,credit_card,MORTGAGE
Charged Off,6000,43116,debt_consolidation,MORTGAGE
Charged Off,35000,98000,debt_consolidation,MORTGAGE
Charged Off,9000,60000,debt_consolidation,MORTGAGE
Charged Off,20000,51000,home_improvement,RENT
Charged Off,10000,65000,debt_consolidation,MORTGAGE
Charged Off,29175,135000,debt_consolidation,MORTGAGE
Charged Off,20500,46000,debt_consolidation,MORTGAGE
Charged Off,16000,37000,debt_consolidation,RENT
Charged Off,12725,68500,debt_consolidation,MORTGAGE
Charged Off,5375,50000,other,MORTGAGE
Charged Off,25975,140000,debt_consolidation,MORTGAGE
Charged Off,35000,260000,debt_consolidation,MORTGAGE
Charged Off,16000,45000,credit_card,RENT
Charged Off,24000,60000,debt_consolidation,MORTGAGE
Charged Off,20000,84000,debt_consolidation,MORTGAGE
Charged Off,5500,25000,debt_consolidation,RENT
Charged Off,12500,68668,credit_card,RENT
Charged Off,15000,77871,debt_consolidation,RENT
Charged Off,9400,28269,other,RENT
Charged Off,7000,50000,debt_consolidation,RENT
Charged Off,35000,120000,debt_consolidation,MORTGAGE
Charged Off,12000,68500,debt_consolidation,MORTGAGE
Charged Off,17000,65000,debt_consolidation,OWN
Charged Off,11700,50000,debt_consolidation,RENT
Charged Off,6075,20832,other,RENT
Charged Off,10000,35205,debt_consolidation,RENT
Charged Off,1000,91000,medical,RENT
Charged Off,13750,50000,debt_consolidation,OWN
Charged Off,8775,48000,debt_consolidation,MORTGAGE
Charged Off,14000,115000,debt_consolidation,MORTGAGE
Charged Off,12000,43300,other,RENT
Charged Off,9750,48000,small_business,RENT
Charged Off,15000,184000,debt_consolidation,MORTGAGE
Charged Off,23000,60946,debt_consolidation,MORTGAGE
Charged Off,5500,45000,home_improvement,MORTGAGE
Charged Off,17050,38000,credit_card,RENT
Charged Off,35000,150000,debt_consolidation,RENT
Charged Off,27300,62000,debt_consolidation,MORTGAGE
Charged Off,5800,34500,debt_consolidation,RENT
Charged Off,8000,25000,major_purchase,RENT
Charged Off,16000,80722,other,OWN
Charged Off,3600,64000,credit_card,OWN
Charged Off,18000,60000,debt_consolidation,RENT
Charged Off,20000,90000,other,MORTGAGE
Charged Off,4800,35000,debt_consolidation,MORTGAGE
Charged Off,12375,35500,debt_consolidation,RENT
Charged Off,15000,43000,debt_consolidation,RENT
Charged Off,7750,65000,debt_consolidation,RENT
Charged Off,6000,61800,other,RENT
Charged Off,5325,26000,debt_consolidation,RENT
Charged Off,7925,54000,medical,RENT
Charged Off,6000,95000,other,MORTGAGE
Charged Off,5000,35000,other,RENT
Charged Off,21000,125000,debt_consolidation,MORTGAGE
Charged Off,15000,45000,debt_consolidation,RENT
Charged Off,10500,42000,debt_consolidation,MORTGAGE
Charged Off,16450,70000,small_business,RENT
Charged Off,35000,267000,credit_card,MORTGAGE
Charged Off,3000,25000,other,RENT
Charged Off,22250,50000,home_improvement,OWN
Charged Off,30000,82000,debt_consolidation,RENT
Charged Off,6000,125000,small_business,MORTGAGE
Charged Off,12000,78000,credit_card,RENT
Charged Off,30000,150000,debt_consolidation,MORTGAGE
Charged Off,9450,38000,debt_consolidation,MORTGAGE
Charged Off,26500,60000,debt_consolidation,RENT
Charged Off,28100,63500,debt_consolidation,RENT
Charged Off,3500,19000,credit_card,RENT
Charged Off,20000,116000,debt_consolidation,MORTGAGE
Charged Off,8000,87000,other,RENT
Charged Off,2675,16000,credit_card,OWN
Charged Off,11000,34000,credit_card,MORTGAGE
Charged Off,4500,96000,debt_consolidation,MORTGAGE
Charged Off,9000,56000,debt_consolidation,RENT
Charged Off,5300,23000,debt_consolidation,RENT
Charged Off,9600,60902,debt_consolidation,RENT
Charged Off,3250,22500,debt_consolidation,RENT
Charged Off,5000,36000,other,RENT
Charged Off,9000,55000,debt_consolidation,RENT
Charged Off,14000,145000,credit_card,MORTGAGE
Charged Off,9625,28000,credit_card,OWN
Charged Off,18550,54000,other,MORTGAGE
Charged Off,24000,90000,debt_consolidation,MORTGAGE
Charged Off,7125,45000,debt_consolidation,RENT
Charged Off,35000,120000,debt_consolidation,RENT
Charged Off,5000,82000,other,MORTGAGE
Charged Off,8325,24000,debt_consolidation,RENT
Charged Off,18000,45000,debt_consolidation,RENT
Charged Off,3625,53000,debt_consolidation,RENT
Charged Off,10000,60000,debt_consolidation,RENT
Charged Off,18000,50000,debt_consolidation,MORTGAGE
Charged Off,10000,60000,debt_consolidation,RENT
Charged Off,10800,220000,credit_card,RENT
Charged Off,28200,89000,debt_consolidation,MORTGAGE
Charged Off,11100,32000,credit_card,RENT
Charged Off,4000,16333,debt_consolidation,RENT
Charged Off,7375,45000,small_business,MORTGAGE
Charged Off,4800,55000,credit_card,MORTGAGE
Charged Off,10000,50000,credit_card,MORTGAGE
Charged Off,9000,55000,credit_card,RENT
Charged Off,2000,63000,medical,MORTGAGE
Charged Off,6000,27000,medical,MORTGAGE
Charged Off,35000,105000,debt_consolidation,RENT
Charged Off,25000,98000,credit_card,MORTGAGE
Charged Off,20125,51000,credit_card,MORTGAGE
Charged Off,25450,57000,debt_consolidation,MORTGAGE
Charged Off,15725,60000,credit_card,RENT
Charged Off,28100,62500,debt_consolidation,MORTGAGE
Charged Off,35000,180000,home_improvement,MORTGAGE
